Timestamp,User,Exercise,Repetitions,Avg Time per Rep,Duration,Feedback
2025-09-06 21:44:35,Unknown,Bicep Curls,6,5.84s,46.37s,Keep your elbow stationary!
2025-09-06 21:47:04,kashish,Push-ups,1,0.00s,66.10s,Adjust form: Elbow angle 137°
2025-09-06 21:47:58,kashish,Bicep Curls,2,8.80s,41.62s,Keep your elbow stationary!
2025-09-06 22:03:20,1,KJ,Bicep Curls,6,9.18s,49.35s,1.64,Keep your elbow stationary!
2025-09-07 16:51:46,2,GG,Bicep Curls,4,4.12s,39.60s,1.65,Keep your elbow stationary!
2025-09-08 12:44:48,2,GG,Bicep Curls,1,0.00s,25.33s,1.06,Keep your elbow stationary!
2025-09-08 14:18:30,1,KJ,Bicep Curls,19,13.66s,300.04s,10.00,Keep your elbow stationary!
2025-09-08 15:42:01,2,GG,Bicep Curls,4,4.53s,18.71s,0.78,Keep your elbow stationary!
2025-09-08 15:42:59,2,GG,Push-ups,12,2.90s,41.55s,4.62,Good form: Lower position
2025-09-08 21:06:05,2,GG,Bicep Curls,11,2.70s,57.36s,2.39,Keep your elbows stationary! | Left arm: Extend fully at the bottom | Right arm: Extend fully at the bottom
2025-09-08 23:06:36,2,GG,Bicep Curls,9,4.10s,34.27s,1.43,Keep your elbows stationary! | Left arm: Extend fully at the bottom
2025-09-10 11:24:45,3,KS,Bicep Curls,11,3.08s,31.46s,1.36,Keep your elbows stationary! | Right arm: Extend fully at the bottom
2025-09-11 14:24:11,2,GG,Bicep Curls,14,3.21s,64.14s,2.67,Keep your elbows stationary! | Left arm: Extend fully at the bottom | Right arm: Extend fully at the bottom
2025-09-11 18:36:22,2,GG,Bicep Curls,23,13.38s,300.03s,12.50,Keep your elbows stationary! | Right arm: Extend fully at the bottom
2025-09-11 18:38:49,2,GG,Bicep Curls,10,4.52s,96.48s,4.02,Keep your elbows stationary! | Right arm: Extend fully at the bottom
2025-09-11 18:48:18,2,GG,Bicep Curls,21,9.86s,300.01s,12.50,Keep your elbows stationary!
2025-09-11 18:50:14,2,GG,Bicep Curls,7,9.30s,82.30s,3.43,Keep your elbows stationary! | Left arm: Extend fully at the bottom
